date,strategyAsOfDate,priceType,source,dataPolicy,market,code,name,close,ma5,ma20,ma60,ma240,rise60,volume,avgVolume20,adx,kline,theme,trend,fund,themeHit,priceVol,score,strictOk,status,reason,pattern,neckline,support,target,stage,entryBreakout,entryPullback,chaseRangeLow,chaseRangeHigh,stopLoss,riskPct,winRate,distanceFromNecklinePct,distanceFromPrevHighPct,forbiddenChase,planStatus,confirmConditions
2026-06-01,2026-06-01,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,上市,1568,倉佑,49.8,41.8,32.13,26.87,23.93,128.44,3627165,1435147,38.46,紅K突破,,True,True,False,True,3,True,可觀察進場：三燈＋型態確認,趨勢多頭、量能放大、價量條件足,旗型整理突破,49.8,30.52,78.95,回踩頸線不破,50.8,49.8,50.8,52.32,48.31,3.0,中,0.0,0.0,False,回踩頸線不破，可觀察低風險進場,收盤站上頸線 49.8 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-01,2026-06-01,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,上市,2356,英業達,77.2,67.18,56.13,47.9,44.61,84.25,239298782,86483359,59.7,紅K突破,,True,True,False,True,3,True,可觀察進場：三燈＋型態確認,趨勢多頭、量能放大、價量條件足,旗型整理突破,77.2,53.33,115.85,回踩頸線不破,78.74,77.2,78.74,81.11,74.88,3.0,中,0.0,0.0,False,回踩頸線不破，可觀察低風險進場,收盤站上頸線 77.2 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-01,2026-06-01,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,上櫃,5474,聰泰,198.0,175.2,169.57,149.49,161.56,38.95,5289189,1046732,46.19,紅K突破,,True,True,False,True,3,True,可觀察進場：三燈＋型態確認,趨勢多頭、量能放大、價量條件足,旗型整理突破,198.0,161.1,270.5,回踩頸線不破,201.96,198.0,201.96,208.02,192.06,3.0,中,0.0,0.0,False,回踩頸線不破，可觀察低風險進場,收盤站上頸線 198.0 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-01,2026-06-01,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,上櫃,5488,松普,13.4,12.16,11.03,10.36,9.98,35.76,4548000,1139235,57.34,紅K突破,,True,True,False,True,3,True,可觀察進場：三燈＋型態確認,趨勢多頭、量能放大、價量條件足,旗型整理突破,13.4,10.48,17.9,回踩頸線不破,13.67,13.4,13.67,14.08,13.0,3.0,中,0.0,0.0,False,回踩頸線不破，可觀察低風險進場,收盤站上頸線 13.4 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-01,2026-06-01,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,上櫃,8071,能率網通,23.4,20.83,19.15,17.3,17.78,33.71,5244972,2329998,55.84,紅K突破,,True,True,False,True,3,True,可觀察進場：三燈＋型態確認,趨勢多頭、量能放大、價量條件足,旗型整理突破,23.4,18.19,31.55,回踩頸線不破,23.87,23.4,23.87,24.58,22.7,3.0,中,0.0,0.0,False,回踩頸線不破，可觀察低風險進場,收盤站上頸線 23.4 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-01,2026-06-01,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,上市,2382,廣達,372.5,329.7,324.27,309.4,287.5,28.67,74697985,36705961,12.55,紅K突破,AI 伺服器 代工 電子製造,True,True,True,False,3,True,可觀察進場：三燈＋型態確認,趨勢多頭、量能放大、題材命中,旗型整理突破,372.5,308.06,473.0,回踩頸線不破,379.95,372.5,379.95,391.35,361.32,3.0,中,0.0,0.0,False,回踩頸線不破，可觀察低風險進場,收盤站上頸線 372.5 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-01,2026-06-01,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,上櫃,7751,竑騰,1830.0,1756.0,1828.5,1795.67,875.49,50.62,986034,264701,31.75,下影線,半導體設備 自動化 AI設備,True,True,True,True,4,False,預備單：接近成形，等待確認,趨勢多頭、量能放大、題材命中、價量條件足,旗型整理突破,2770.0,1737.07,4460.0,接近成形＋可觀察,2825.4,2770.0,2825.4,2910.16,2686.9,-46.83,低,-33.94,34.76,True,距離頸線或前高過遠，禁止追高,收盤站上頸線 2770.0 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-01,2026-06-01,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,上櫃,5228,鈺鎧,64.7,60.86,49.11,34.51,22.78,182.53,3510332,1714747,63.05,一般K,,True,True,False,True,3,False,預備單：接近成形，等待確認,趨勢多頭、量能放大、價量條件足,旗型整理突破,70.4,46.65,120.2,接近成形＋可觀察,71.81,70.4,71.81,73.96,68.29,-5.55,中,-8.1,8.1,False,預備單，等待確認條件,收盤站上頸線 70.4 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-01,2026-06-01,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,上市,2243,宏旭-KY,29.95,25.87,23.61,21.67,14.14,150.63,3582000,1267623,38.17,紅K突破,,True,True,False,True,3,False,預備單：接近成形，等待確認,趨勢多頭、量能放大、價量條件足,旗型整理突破,30.0,22.43,48.5,接近成形＋可觀察,30.6,30.0,30.6,31.52,29.1,2.84,中,-0.17,0.17,False,預備單，等待確認條件,收盤站上頸線 30.0 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-01,2026-06-01,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,上櫃,8040,九暘,112.5,112.9,96.52,68.89,57.52,126.13,2476479,4565478,72.48,一般K,IC設計 網通 半導體,True,False,True,True,3,False,預備單：接近成形，等待確認,趨勢多頭、題材命中、價量條件足,旗型整理突破,130.5,91.69,215.25,接近成形＋可觀察,133.11,130.5,133.11,137.1,126.58,-12.52,低,-13.79,13.79,True,距離頸線或前高過遠，禁止追高,收盤站上頸線 130.5 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
