date,strategyAsOfDate,ticker,name,close,currency,priceType,source,dataPolicy,ma20,ma60,ma200,rise60,volume,avgVolume20,volumeRatio,adx,kline,trend,volumeOk,priceVol,marketOk,score,strictOk,status,reason,pattern,neckline,support,target,stage,entryBreakout,entryPullback,chaseRangeLow,chaseRangeHigh,observationEntry,limitPrice,stopLoss,riskPct,winRate,distanceFromNecklinePct,distanceFromPrevHighPct,forbiddenChase,planStatus,confirmConditions
2026-06-12,2026-06-12,MRVL,MRVL,279.7,USD,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,233.66,168.24,108.52,212.41,40789302,55114400,0.74,48.85,一般K,True,False,True,False,2,False,只觀察,均線多頭排列、價量趨勢成立,旗型整理突破,324.2,221.98,563.27,接近成形＋可觀察,330.68,324.2,330.68,340.6,330.68,330.68,314.47,-12.43,低,-13.73,13.73,True,距離頸線或前高過遠，禁止追高,收盤站上頸線 324.2 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-12,2026-06-12,ARM,ARM,380.81,USD,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,324.14,226.39,162.27,193.34,16297928,12937696,1.26,60.89,紅K突破,True,False,True,False,2,False,只觀察,均線多頭排列、價量趨勢成立,旗型整理突破,427.99,307.94,731.48,接近成形＋可觀察,436.55,427.99,436.55,449.65,436.55,436.55,415.15,-9.02,低,-11.02,11.02,True,距離頸線或前高過遠，禁止追高,收盤站上頸線 427.99 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-12,2026-06-12,DELL,DELL,395.57,USD,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,346.64,247.85,167.95,152.34,5349722,12084446,0.44,63.41,一般K,True,False,True,False,2,False,只觀察,均線多頭排列、價量趨勢成立,接近成形,469.47,329.31,792.37,接近成形＋可觀察,478.86,469.47,478.86,493.23,478.86,478.86,455.39,-15.12,低,-15.74,15.74,True,距離頸線或前高過遠，禁止追高,收盤站上頸線 469.47 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-12,2026-06-12,MU,MU,981.61,USD,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,893.13,627.86,381.71,120.95,40309461,55314078,0.73,31.74,一般K,True,False,True,False,2,False,只觀察,均線多頭排列、價量趨勢成立,旗型整理突破,1089.29,848.47,1867.09,接近成形＋可觀察,1111.08,1089.29,1111.08,1144.41,1111.08,1111.08,1056.61,-7.64,中,-9.89,9.89,False,預備單，等待確認條件,收盤站上頸線 1089.29 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-12,2026-06-12,HPE,HPE,48.17,USD,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,43.02,32.19,25.78,117.77,20047451,38824107,0.52,65.56,一般K,True,False,True,False,2,False,只觀察,均線多頭排列、價量趨勢成立,接近成形,64.25,40.87,107.34,接近成形＋可觀察,65.53,64.25,65.53,67.5,65.53,65.53,62.32,-29.38,低,-25.03,25.03,True,距離頸線或前高過遠，禁止追高,收盤站上頸線 64.25 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-12,2026-06-12,STX,STX,931.04,USD,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,851.04,662.08,404.3,114.23,3183961,3219063,0.99,26.9,紅K突破,True,False,True,False,2,False,只觀察,均線多頭排列、價量趨勢成立,旗型整理突破,966.8,808.49,1582.18,接近成形＋可觀察,986.14,966.8,986.14,1015.72,986.14,986.14,937.8,-0.73,中,-3.7,3.7,False,預備單，等待確認條件,收盤站上頸線 966.8 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-12,2026-06-12,WDC,WDC,562.92,USD,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,518.1,422.11,253.77,77.62,6273655,6583052,0.95,27.69,紅K突破,True,False,True,False,2,False,只觀察,均線多頭排列、價量趨勢成立,旗型整理突破,602.54,492.2,956.02,接近成形＋可觀察,614.59,602.54,614.59,633.03,614.59,614.59,584.46,-3.83,中,-6.57,6.57,False,預備單，等待確認條件,收盤站上頸線 602.54 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-12,2026-06-12,KLAC,KLAC,254.54,USD,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,200.95,180.2,141.2,68.4,9110279,11077776,0.82,39.38,紅K突破,True,False,True,False,2,False,只觀察,均線多頭排列、價量趨勢成立,旗型整理突破,254.92,190.9,372.4,接近成形＋可觀察,260.02,254.92,260.02,267.82,260.02,260.02,247.27,2.86,中,-0.15,0.15,False,預備單，等待確認條件,收盤站上頸線 254.92 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-12,2026-06-12,PANW,PANW,279.62,USD,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,265.7,205.83,194.26,64.73,6738627,9676551,0.7,49.56,紅K突破,True,False,True,False,2,False,只觀察,均線多頭排列、價量趨勢成立,旗型整理突破,302.95,252.41,462.4,接近成形＋可觀察,309.01,302.95,309.01,318.28,309.01,309.01,293.86,-5.09,中,-7.7,7.7,False,預備單，等待確認條件,收盤站上頸線 302.95 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
2026-06-12,2026-06-12,CRWD,CRWD,682.8,USD,收盤確認價,Yahoo Finance via yfinance（日K完整收盤資料）,只使用完整收盤日K，不使用盤中未完成K,676.26,519.0,484.21,59.47,2253338,3873731,0.58,53.61,一般K,True,False,True,False,2,False,只觀察,均線多頭排列、價量趨勢成立,接近成形,785.66,642.44,1209.51,接近成形＋可觀察,801.37,785.66,801.37,825.41,801.37,801.37,762.09,-11.61,低,-13.09,13.09,True,距離頸線或前高過遠，禁止追高,收盤站上頸線 785.66 至少2%；成交量>=20日均量2倍；不可長上影；隔日不跌破頸線；距離頸線>5%禁止進場
